run,interval,reqrate,rate,resp,MB/sec,Read_rate,Read_resp,Write_rate,Write_resp,MB_read,MB_write,Xfersize,Mkdir_rate,Mkdir_resp,Rmdir_rate,Rmdir_resp,Create_rate,Create_resp,Open_rate,Open_resp,Close_rate,Close_resp,Delete_rate,Delete_resp,Getattr_rate,Getattr_resp,Setattr_rate,Setattr_resp,Copy_rate,Copy_resp,Move_rate,Move_resp,compratio,dedupratio,cpu_used,cpu_user,cpu_kernel,cpu_wait,cpu_idle
rd1,226,999988.0000,60.0000,4544.5092,13.1289,0.0000,0.0000,60.0000,4544.5092,0.0000,13.1289,229444,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,n/a,n/a,3.1915,0.0000,3.1915,0.0000,0.0000
rd1,227,999988.0000,40.0000,4988.3785,9.4961,0.0000,0.0000,40.0000,4988.3785,0.0000,9.4961,248934,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,n/a,n/a,5.3763,1.0753,4.3011,0.0000,0.0000
rd1,228,999988.0000,39.0000,7157.9278,12.5664,0.0000,0.0000,39.0000,7157.9278,0.0000,12.5664,337867,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,n/a,n/a,10.5263,8.4211,2.1053,0.0000,0.0000
rd1,229,999988.0000,27.0000,6107.2070,7.3008,0.0000,0.0000,27.0000,6107.2070,0.0000,7.3008,283534,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,n/a,n/a,2.0619,0.0000,2.0619,0.0000,0.0000
rd1,230,999988.0000,42.0000,6643.7865,12.9219,0.0000,0.0000,42.0000,6643.7865,0.0000,12.9219,322608,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,n/a,n/a,4.3478,0.0000,4.3478,0.0000,0.0000
rd1,231,999988.0000,26.0000,6811.9820,7.7930,0.0000,0.0000,26.0000,6811.9820,0.0000,7.7930,314289,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,n/a,n/a,1.0870,1.0870,0.0000,0.0000,0.0000
rd1,232,999988.0000,33.0000,5769.0714,8.1484,0.0000,0.0000,33.0000,5769.0714,0.0000,8.1484,258916,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,n/a,n/a,3.1915,1.0638,2.1277,0.0000,0.0000
rd1,233,999988.0000,29.0000,7388.2061,9.1367,0.0000,0.0000,29.0000,7388.2061,0.0000,9.1367,330363,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0640,1.0000,0.0250,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,n/a,n/a,3.1579,0.0000,3.1579,0.0000,0.0000
rd1,234,999988.0000,40.0000,8434.1087,14.1836,0.0000,0.0000,40.0000,8434.1087,0.0000,14.1836,371814,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,n/a,n/a,3.2258,1.0753,2.1505,0.0000,0.0000
rd1,235,999988.0000,47.0000,6573.6267,13.3789,0.0000,0.0000,47.0000,6573.6267,0.0000,13.3789,298485,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,n/a,n/a,4.3011,2.1505,2.1505,0.0000,0.0000
