run,interval,reqrate,rate,resp,MB/sec,Read_rate,Read_resp,Write_rate,Write_resp,MB_read,MB_write,Xfersize,Mkdir_rate,Mkdir_resp,Rmdir_rate,Rmdir_resp,Create_rate,Create_resp,Open_rate,Open_resp,Close_rate,Close_resp,Delete_rate,Delete_resp,Getattr_rate,Getattr_resp,Setattr_rate,Setattr_resp,Copy_rate,Copy_resp,Move_rate,Move_resp,compratio,dedupratio,cpu_used,cpu_user,cpu_kernel,cpu_wait,cpu_idle
rd1,1,999988.0000,320.0000,9.7308,1.2500,168.0000,18.1036,152.0000,0.4766,0.6563,0.5938,4096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.0000,0.0665,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,n/a,n/a,24.6154,7.6923,16.9231,0.0000,0.0000
rd1,2,999988.0000,509.0000,7.7755,1.9883,232.0000,17.0043,277.0000,0.0460,0.9063,1.0820,4096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,n/a,n/a,17.0213,2.1277,14.8936,0.0000,0.0000
rd1,3,999988.0000,462.0000,8.6252,1.8047,228.0000,17.4159,234.0000,0.0599,0.8906,0.9141,4096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,n/a,n/a,19.5876,2.0619,17.5258,0.0000,0.0000
rd1,4,999988.0000,429.0000,9.6451,1.6758,224.0000,18.4316,205.0000,0.0442,0.8750,0.8008,4096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,n/a,n/a,13.2653,0.0000,13.2653,0.0000,0.0000
rd1,5,999988.0000,533.0000,7.1700,2.0820,269.0000,14.1609,264.0000,0.0466,1.0508,1.0313,4096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,n/a,n/a,21.2766,2.1277,19.1489,0.0000,0.0000
rd1,6,999988.0000,660.0000,6.0714,2.5781,346.0000,11.5446,314.0000,0.0404,1.3516,1.2266,4096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,n/a,n/a,27.2727,6.0606,21.2121,0.0000,0.0000
rd1,7,999988.0000,613.0000,6.3836,2.3945,285.0000,13.6902,328.0000,0.0349,1.1133,1.2813,4096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,n/a,n/a,15.9574,0.0000,15.9574,0.0000,0.0000
rd1,8,999988.0000,662.0000,6.0258,2.5859,323.0000,12.3141,339.0000,0.0343,1.2617,1.3242,4096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,n/a,n/a,17.7083,2.0833,15.6250,0.0000,0.0000
rd1,9,999988.0000,745.0000,5.3503,2.9102,363.0000,10.9461,382.0000,0.0328,1.4180,1.4922,4096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,n/a,n/a,15.3061,0.0000,15.3061,0.0000,0.0000
rd1,10,999988.0000,875.0000,4.4547,3.4180,445.0000,8.7116,430.0000,0.0493,1.7383,1.6797,4096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,n/a,n/a,23.4694,2.0408,21.4286,0.0000,0.0000
