run,interval,reqrate,rate,resp,MB/sec,Read_rate,Read_resp,Write_rate,Write_resp,MB_read,MB_write,Xfersize,Mkdir_rate,Mkdir_resp,Rmdir_rate,Rmdir_resp,Create_rate,Create_resp,Open_rate,Open_resp,Close_rate,Close_resp,Delete_rate,Delete_resp,Getattr_rate,Getattr_resp,Setattr_rate,Setattr_resp,Copy_rate,Copy_resp,Move_rate,Move_resp,compratio,dedupratio,cpu_used,cpu_user,cpu_kernel,cpu_wait,cpu_idle
rd1,1,999988.0000,64030.0000,0.0213,250.1172,31722.0000,0.0070,32308.0000,0.0353,123.9141,126.2031,4096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,27.0000,0.0468,23.0000,0.0208,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,n/a,n/a,38.8601,26.9430,11.9171,0.0000,0.0000
rd1,2,999988.0000,31085.0000,0.1254,121.4258,15549.0000,0.0023,15536.0000,0.2486,60.7383,60.6875,4096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.0000,0.0372,13.0000,0.0325,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,n/a,n/a,23.4694,7.1429,16.3265,0.0000,0.0000
rd1,3,999988.0000,32736.0000,0.1159,127.8750,16256.0000,0.0030,16480.0000,0.2273,63.5000,64.3750,4096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.0000,0.0454,12.0000,0.2064,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,n/a,n/a,24.2105,8.4211,15.7895,0.0000,0.0000
rd1,4,999988.0000,33784.0000,0.1139,131.9688,16956.0000,0.0015,16828.0000,0.2271,66.2344,65.7344,4096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.0000,0.0662,13.0000,0.0309,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,n/a,n/a,34.5794,9.3458,25.2336,0.0000,0.0000
rd1,5,999988.0000,37495.0000,0.1018,146.4648,18613.0000,0.0013,18882.0000,0.2009,72.7070,73.7578,4096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.0000,0.0263,15.0000,0.0223,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,n/a,n/a,59.0476,34.2857,24.7619,0.0000,0.0000
rd1,6,999988.0000,32772.0000,0.1162,128.0156,16407.0000,0.0031,16365.0000,0.2296,64.0898,63.9258,4096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.0000,0.0238,12.0000,0.0228,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,n/a,n/a,39.8230,15.9292,23.8938,0.0000,0.0000
rd1,7,999988.0000,32681.0000,0.1154,127.6602,16434.0000,0.0040,16247.0000,0.2281,64.1953,63.4648,4096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.0000,0.0398,13.0000,0.0234,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,n/a,n/a,35.8491,11.3208,24.5283,0.0000,0.0000
rd1,8,999988.0000,34306.0000,0.1121,134.0078,17246.0000,0.0202,17060.0000,0.2049,67.3672,66.6406,4096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14.0000,0.0304,14.0000,0.0375,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,n/a,n/a,23.3010,3.8835,19.4175,0.0000,0.0000
rd1,9,999988.0000,35263.0000,0.1088,137.7461,17579.0000,0.0019,17684.0000,0.2150,68.6680,69.0781,4096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.0000,0.0395,13.0000,0.0303,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,n/a,n/a,29.6296,6.4815,23.1481,0.0000,0.0000
rd1,10,999988.0000,37248.0000,0.1025,145.5000,18688.0000,0.0019,18560.0000,0.2038,73.0000,72.5000,4096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,16.0000,0.0348,16.0000,0.0262,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,n/a,n/a,28.7129,7.9208,20.7921,0.0000,0.0000
rd1,11,999988.0000,36656.0000,0.1046,143.1875,18284.0000,0.0015,18372.0000,0.2072,71.4219,71.7656,4096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14.0000,0.0278,14.0000,0.0231,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,n/a,n/a,32.7103,6.5421,26.1682,0.0000,0.0000
rd1,12,999988.0000,32822.0000,0.1163,128.2109,16386.0000,0.0024,16436.0000,0.2298,64.0078,64.2031,4096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.0000,0.0329,12.0000,0.0243,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,n/a,n/a,32.6923,9.6154,23.0769,0.0000,0.0000
