run,interval,reqrate,rate,resp,MB/sec,Read_rate,Read_resp,Write_rate,Write_resp,MB_read,MB_write,Xfersize,Mkdir_rate,Mkdir_resp,Rmdir_rate,Rmdir_resp,Create_rate,Create_resp,Open_rate,Open_resp,Close_rate,Close_resp,Delete_rate,Delete_resp,Getattr_rate,Getattr_resp,Setattr_rate,Setattr_resp,Copy_rate,Copy_resp,Move_rate,Move_resp,compratio,dedupratio,cpu_used,cpu_user,cpu_kernel,cpu_wait,cpu_idle
rd1,1,999988.0000,40170.0000,0.0388,156.9141,0.0000,0.0000,40170.0000,0.0388,0.0000,156.9141,4096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,18.0000,0.0376,14.0000,0.0227,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,n/a,n/a,33.5106,25.5319,7.9787,0.0000,0.0000
rd1,2,999988.0000,19522.0000,0.2002,76.2578,0.0000,0.0000,19522.0000,0.2002,0.0000,76.2578,4096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.0000,0.0335,8.0000,0.0311,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,n/a,n/a,27.5510,12.2449,15.3061,0.0000,0.0000
rd1,3,999988.0000,13338.0000,0.2953,52.1016,0.0000,0.0000,13338.0000,0.2953,0.0000,52.1016,4096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.0000,0.0298,5.0000,0.0340,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,n/a,n/a,24.5098,6.8627,17.6471,0.0000,0.0000
rd1,4,999988.0000,16728.0000,0.2311,65.3438,0.0000,0.0000,16728.0000,0.2311,0.0000,65.3438,4096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.0000,0.0320,6.0000,0.0317,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,n/a,n/a,50.9434,31.1321,19.8113,0.0000,0.0000
rd1,5,999988.0000,23907.0000,0.1630,93.3867,0.0000,0.0000,23907.0000,0.1630,0.0000,93.3867,4096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.0000,0.0350,9.0000,0.0334,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,n/a,n/a,34.3750,14.5833,19.7917,0.0000,0.0000
rd1,6,999988.0000,17596.0000,0.2233,68.7344,0.0000,0.0000,17596.0000,0.2233,0.0000,68.7344,4096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.0000,0.0259,7.0000,0.0286,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,n/a,n/a,31.4815,13.8889,17.5926,0.0000,0.0000
rd1,7,999988.0000,24440.0000,0.1575,95.4688,0.0000,0.0000,24440.0000,0.1575,0.0000,95.4688,4096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.0000,0.0393,10.0000,0.0844,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,n/a,n/a,24.7619,5.7143,19.0476,0.0000,0.0000
rd1,8,999988.0000,18075.0000,0.2165,70.6055,0.0000,0.0000,18075.0000,0.2165,0.0000,70.6055,4096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.0000,0.0316,7.0000,0.0250,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,n/a,n/a,21.4286,3.0612,18.3673,0.0000,0.0000
rd1,9,999988.0000,23223.0000,0.1657,90.7148,0.0000,0.0000,23223.0000,0.1657,0.0000,90.7148,4096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.0000,0.0357,10.0000,0.0291,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,n/a,n/a,27.0000,10.0000,17.0000,0.0000,0.0000
rd1,10,999988.0000,29011.0000,0.1327,113.3242,0.0000,0.0000,29011.0000,0.1327,0.0000,113.3242,4096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.0000,0.0343,11.0000,0.0353,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,n/a,n/a,32.7103,8.4112,24.2991,0.0000,0.0000
rd1,11,999988.0000,25361.0000,0.1537,99.0664,0.0000,0.0000,25361.0000,0.1537,0.0000,99.0664,4096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.0000,0.0345,10.0000,0.0411,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,n/a,n/a,30.6931,11.8812,18.8119,0.0000,0.0000
rd1,12,999988.0000,33718.0000,0.1116,131.7109,0.0000,0.0000,33718.0000,0.1116,0.0000,131.7109,4096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.0000,0.0646,13.0000,0.0237,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,n/a,n/a,32.3810,4.7619,27.6190,0.0000,0.0000
rd1,13,999988.0000,28280.0000,0.1357,110.4688,0.0000,0.0000,28280.0000,0.1357,0.0000,110.4688,4096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.0000,0.0360,11.0000,0.0282,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,n/a,n/a,27.6190,3.8095,23.8095,0.0000,0.0000
rd1,14,999988.0000,20661.0000,0.1883,80.7070,0.0000,0.0000,20661.0000,0.1883,0.0000,80.7070,4096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.0000,0.0293,8.0000,0.0244,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,n/a,n/a,19.1919,2.0202,17.1717,0.0000,0.0000
rd1,15,999988.0000,26419.0000,0.1459,103.1992,0.0000,0.0000,26419.0000,0.1459,0.0000,103.1992,4096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.0000,0.0430,10.0000,0.0296,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,n/a,n/a,30.2752,6.4220,23.8532,0.0000,0.0000
rd1,16,999988.0000,25021.0000,0.1534,97.7383,0.0000,0.0000,25021.0000,0.1534,0.0000,97.7383,4096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.0000,0.0308,10.0000,0.0270,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,n/a,n/a,26.8519,5.5556,21.2963,0.0000,0.0000
rd1,17,999988.0000,24504.0000,0.1568,95.7188,0.0000,0.0000,24504.0000,0.1568,0.0000,95.7188,4096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.0000,0.0377,10.0000,0.0260,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,n/a,n/a,26.7327,2.9703,23.7624,0.0000,0.0000
